City,Cloudiness,Country Code,Humidity,Latitude,Temperature(F),Wind Speed
Vaini,0,IN,51,15.34,67.64,3.62
Vaini,0,IN,51,15.34,67.64,3.62
Barrow,56,AR,92,-38.31,65.3,3.62
Victoria,75,BN,88,5.28,84.22,2.24
Havelock,1,US,70,34.88,46.72,3.36
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Sitka,8,US,82,37.17,51.35,12.12
Kamenice,48,CZ,50,50.41,8.24,10.45
Goderich,32,CA,79,43.74,39.11,12.57
Albany,40,US,59,42.65,36.01,3.36
Bluff,68,AU,97,-23.58,79.66,10.33
Chokurdakh,44,RU,80,70.62,-18.09,5.08
Manhattan,90,US,82,39.18,56.32,16.11
Kapaa,90,US,78,22.08,75.2,18.34
Yellowknife,20,CA,78,62.45,12.2,4.7
Kaolinovo,92,BG,86,43.62,14.77,14.92
Ushuaia,88,AR,100,-54.81,45.14,13.69
Vaini,0,IN,51,15.34,67.64,3.62
George Town,75,MY,74,5.42,80.42,9.17
Jamestown,0,AU,44,-33.21,75.43,16.37
Port Elizabeth,1,US,56,39.31,43.54,11.41
Kununurra,12,AU,81,-15.77,90.23,4.63
Atraulia,0,IN,76,26.33,71.38,4.52
Shitanjing,0,CN,25,39.23,44.02,6.98
Mount Isa,0,AU,24,-20.73,102.74,6.08
Rikitea,64,PF,100,-23.12,79.84,14.03
Vardo,1,US,36,39.62,46.69,8.05
Rikitea,64,PF,100,-23.12,79.84,14.03
Bhaktapur,75,NP,87,27.67,57.2,2.24
Machachi,92,EC,100,-0.51,47.89,0.6
Honiara,20,SB,70,-9.43,87.8,9.17
Thompson,40,CA,78,55.74,17.6,3.36
Fortuna,90,ES,87,38.18,50.0,4.7
Tasiilaq,0,GL,91,65.61,17.33,4.18
Jamestown,0,AU,44,-33.21,75.43,16.37
Haimen,76,CN,91,31.87,55.76,20.07
Grindavik,92,IS,94,63.84,43.21,9.78
Hermanus,56,ZA,100,-34.42,52.43,3.62
Viedma,0,AR,92,-40.81,55.18,5.75
Longyearbyen,75,NO,67,78.22,23.0,21.92
Tocopilla,56,CL,100,-22.09,57.79,3.74
Rikitea,64,PF,100,-23.12,79.84,14.03
Lasa,40,CY,87,34.92,52.86,6.93
Mount Pleasant,90,US,100,33.16,62.96,5.82
Provideniya,0,RU,100,64.42,18.05,1.16
Ushuaia,88,AR,100,-54.81,45.14,13.69
Codrington,12,AU,79,-28.95,77.41,3.29
Bosaso,8,SO,100,11.28,73.76,6.08
Prince Rupert,90,CA,93,54.32,35.6,4.7
Noumea,0,NC,100,-22.28,78.49,6.76
Bethel,40,US,78,60.79,12.2,17.22
Albany,40,US,59,42.65,36.01,3.36
Mahebourg,76,MU,81,-20.41,80.69,9.89
Busselton,0,AU,100,-33.64,68.99,8.43
Vardo,1,US,36,39.62,46.69,8.05
Busselton,0,AU,100,-33.64,68.99,8.43
Barrow,56,AR,92,-38.31,65.3,3.62
Comodoro Rivadavia,0,AR,80,-45.87,63.5,6.64
Atuona,92,PF,100,-9.8,81.05,14.14
Puerto del Rosario,68,ES,77,28.5,64.4,16.11
Ushuaia,88,AR,100,-54.81,45.14,13.69
Tuy Hoa,92,VN,90,13.08,75.52,3.18
Pisco,8,PE,89,-13.71,68.0,3.62
Paamiut,20,GL,100,61.99,23.45,10.22
Keti Bandar,68,PK,93,24.14,75.88,9.66
Cape Town,0,ZA,94,-33.93,61.7,14.25
Hobart,100,AU,55,-42.88,73.13,7.09
Hobart,100,AU,55,-42.88,73.13,7.09
Ancona,1,US,62,41.04,51.8,17.22
Cherskiy,36,RU,68,68.75,-4.59,2.17
Kapaa,90,US,78,22.08,75.2,18.34
Grand-Couronne,0,FR,67,49.35,20.34,9.17
Thompson,40,CA,78,55.74,17.6,3.36
Nuevo Progreso,1,US,83,26.05,74.89,18.34
Xining,0,CN,16,36.62,36.68,3.29
Albany,40,US,59,42.65,36.01,3.36
Alexandria,75,US,94,31.31,68.94,5.82
Shahpura,0,IN,61,25.63,70.61,2.95
Albany,40,US,59,42.65,36.01,3.36
Kapaa,90,US,78,22.08,75.2,18.34
Honningsvag,92,NO,94,70.98,34.93,28.12
Kavaratti,0,IN,100,10.57,83.44,2.84
Constitucion,64,MX,33,23.99,60.76,8.55
Faya,0,SA,79,18.39,37.49,2.73
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Upernavik,56,GL,81,72.79,10.94,10.33
Port Keats,8,AU,88,-14.25,88.7,6.2
Mataura,0,NZ,67,-46.19,71.74,5.64
Albany,40,US,59,42.65,36.01,3.36
Laguna,88,MX,90,27.52,55.4,2.84
Padang,36,ID,100,-0.92,81.41,2.51
Zalantun,88,CN,67,48.0,11.71,4.18
Rikitea,64,PF,100,-23.12,79.84,14.03
Puerto Ayora,80,EC,100,-0.74,79.21,4.97
Komsomolskiy,88,RU,71,67.55,1.36,13.8
Bluff,68,AU,97,-23.58,79.66,10.33
Qaanaaq,64,GL,84,77.48,9.19,9.78
Iskateley,44,RU,84,67.68,23.77,17.27
Kaitangata,0,NZ,76,-46.28,68.86,3.62
Ushuaia,88,AR,100,-54.81,45.14,13.69
Thompson,40,CA,78,55.74,17.6,3.36
Dikson,80,RU,100,73.51,19.49,24.65
Sobolevo,68,RU,64,54.43,-3.46,17.94
Karpogory,76,RU,85,64.0,5.86,3.18
Fengrun,92,CN,81,39.83,33.53,2.95
Vaini,0,IN,51,15.34,67.64,3.62
Tilichiki,24,RU,83,60.47,3.29,4.07
Qaanaaq,64,GL,84,77.48,9.19,9.78
Jamestown,0,AU,44,-33.21,75.43,16.37
Tuktoyaktuk,90,CA,84,69.44,-2.21,14.99
Atuona,92,PF,100,-9.8,81.05,14.14
Hermanus,56,ZA,100,-34.42,52.43,3.62
Shenzhen,40,CN,82,22.54,67.01,2.24
Jatai,68,IN,77,28.97,67.33,2.95
Mugumu,44,TZ,96,-1.84,58.46,3.4
Cockburn Town,0,TC,100,21.46,75.34,17.27
Castro,0,CL,97,-42.48,49.69,2.17
Cockburn Town,0,TC,100,21.46,75.34,17.27
Aklavik,75,CA,65,68.22,3.2,4.97
Cape Town,0,ZA,94,-33.93,61.7,14.25
Mecca,0,SA,82,21.43,54.86,2.62
Bogatic,76,RS,93,44.83,19.63,4.52
Cayenne,68,GF,86,4.94,77.14,6.2
Busselton,0,AU,100,-33.64,68.99,8.43
East London,24,ZA,100,-33.02,68.23,7.43
Sitka,8,US,82,37.17,51.35,12.12
Cidreira,48,BR,97,-30.17,69.8,3.62
Saint-Philippe,75,CA,48,45.36,44.6,5.82
New Norfolk,68,AU,64,-42.78,69.26,8.21
Cidreira,48,BR,97,-30.17,69.8,3.62
Jamestown,0,AU,44,-33.21,75.43,16.37
Butaritari,92,KI,97,3.07,83.66,17.05
Kikwit,92,CD,99,-5.04,68.77,4.97
Saldanha,92,PT,100,41.42,30.2,7.87
Saint-Philippe,75,CA,48,45.36,44.6,5.82
Jalu,24,LY,37,29.03,60.13,10.45
Isfana,40,KG,93,39.84,46.4,2.73
Shiyan,8,CN,86,32.65,52.12,2.39
Margate,92,AU,72,-43.03,69.8,5.64
Saint-Augustin,0,FR,53,44.83,23.79,8.05
Puerto Ayora,80,EC,100,-0.74,79.21,4.97
Jamestown,0,AU,44,-33.21,75.43,16.37
Puerto Ayora,80,EC,100,-0.74,79.21,4.97
Atuona,92,PF,100,-9.8,81.05,14.14
Sur,24,OM,99,22.57,71.74,5.97
Bowen,88,AU,100,-20.01,79.48,5.19
Maldonado,0,UY,100,-34.91,65.66,8.66
Kawalu,20,ID,83,-7.38,76.28,2.84
Clyde River,90,CA,76,70.47,-5.81,3.36
Hobart,100,AU,55,-42.88,73.13,7.09
Severo-Kurilsk,64,RU,100,50.68,26.47,14.7
Marawi,64,PH,75,8.0,80.47,1.16
Manta,88,RO,88,45.1,12.2,3.74
Cape Town,0,ZA,94,-33.93,61.7,14.25
Esperance,32,TT,88,10.24,74.21,4.63
Mulki,75,PL,78,49.81,8.6,16.11
Tasiilaq,0,GL,91,65.61,17.33,4.18
Rikitea,64,PF,100,-23.12,79.84,14.03
Kieta,36,PG,100,-6.22,78.8,3.85
Tabou,36,CI,97,4.42,80.96,8.99
Caravelas,76,BR,100,-17.73,81.41,14.36
Haguenau,0,FR,66,48.82,14.0,5.82
Mataura,0,NZ,67,-46.19,71.74,5.64
Santa Rosa,24,AR,78,-36.62,69.04,9.55
Ushuaia,88,AR,100,-54.81,45.14,13.69
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Champerico,0,MX,77,16.38,69.08,1.28
Oranjemund,36,ZA,96,-28.55,62.51,12.24
Dunedin,0,NZ,78,-45.87,67.87,2.17
Vitim,44,RU,67,59.44,-5.4,3.06
Hobart,100,AU,55,-42.88,73.13,7.09
Vaini,0,IN,51,15.34,67.64,3.62
Busselton,0,AU,100,-33.64,68.99,8.43
Bethel,40,US,78,60.79,12.2,17.22
Lebu,64,ET,87,8.96,46.63,2.62
Port Alfred,12,ZA,95,-33.59,64.36,4.63
Atuona,92,PF,100,-9.8,81.05,14.14
Cape Town,0,ZA,94,-33.93,61.7,14.25
Faya,0,SA,79,18.39,37.49,2.73
Ushuaia,88,AR,100,-54.81,45.14,13.69
Bluff,68,AU,97,-23.58,79.66,10.33
Saint-Joseph,90,FR,78,43.56,31.95,4.7
Paka,75,HR,92,45.29,15.8,12.75
Cherskiy,36,RU,68,68.75,-4.59,2.17
Tasiilaq,0,GL,91,65.61,17.33,4.18
Ushuaia,88,AR,100,-54.81,45.14,13.69
Cape Town,0,ZA,94,-33.93,61.7,14.25
Port Elizabeth,1,US,56,39.31,43.54,11.41
Busselton,0,AU,100,-33.64,68.99,8.43
Ponta do Sol,76,BR,98,-20.63,65.71,2.73
Sogne,48,NO,85,58.08,10.4,19.46
Torbay,90,CA,100,47.66,30.2,24.16
Atuona,92,PF,100,-9.8,81.05,14.14
Biak,36,ID,88,-0.91,82.94,1.95
Sitka,8,US,82,37.17,51.35,12.12
Tuensang,0,IN,71,26.24,64.81,1.95
Rikitea,64,PF,100,-23.12,79.84,14.03
Ancud,80,CL,85,-41.87,54.68,1.95
Sao Filipe,8,CV,100,14.9,67.46,6.42
Andzhiyevskiy,24,RU,79,44.23,23.99,5.64
Longyearbyen,75,NO,67,78.22,23.0,21.92
Ribeira Grande,64,PT,100,38.52,58.51,12.46
Vestmannaeyjar,64,IS,96,63.44,41.54,5.41
Garoua,12,CM,68,9.31,75.74,2.17
Dhidhdhoo,32,MV,100,6.88,81.01,14.36
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Castro,0,CL,97,-42.48,49.69,2.17
Puerto Ayora,80,EC,100,-0.74,79.21,4.97
Esperance,32,TT,88,10.24,74.21,4.63
Ranong,40,TH,83,9.96,77.0,5.97
Fortuna,90,ES,87,38.18,50.0,4.7
Cape Town,0,ZA,94,-33.93,61.7,14.25
Barrow,56,AR,92,-38.31,65.3,3.62
Vaini,0,IN,51,15.34,67.64,3.62
Usinsk,88,RU,86,66.0,12.61,8.77
Busselton,0,AU,100,-33.64,68.99,8.43
El Sauzal,80,AR,95,-24.3,64.4,2.62
Yellowknife,20,CA,78,62.45,12.2,4.7
Sri Aman,90,MY,94,1.24,73.4,3.06
Walvis Bay,56,NA,100,-22.95,61.93,4.85
Norsup,44,VU,92,-16.07,83.98,1.72
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Puerto Ayora,80,EC,100,-0.74,79.21,4.97
Ixtapa,20,MX,90,20.71,63.91,1.95
Tuktoyaktuk,90,CA,84,69.44,-2.21,14.99
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Puerto Escondido,0,MX,100,15.86,80.78,9.44
Udachnyy,36,RU,86,66.42,-20.47,3.4
Ribeira Grande,64,PT,100,38.52,58.51,12.46
Vallenar,0,CL,83,-28.58,54.91,2.06
Oussouye,0,SN,99,12.49,66.38,13.58
Tasiilaq,0,GL,91,65.61,17.33,4.18
Punta Arenas,76,CL,79,-53.16,52.7,16.26
East London,24,ZA,100,-33.02,68.23,7.43
Boromlya,92,UA,79,50.62,10.54,18.05
Yellowknife,20,CA,78,62.45,12.2,4.7
Hilo,40,US,57,19.71,68.27,11.41
Oravita,80,RO,86,45.03,17.24,1.28
Barrow,56,AR,92,-38.31,65.3,3.62
Hithadhoo,76,MV,100,-0.6,83.71,7.65
Ahipara,36,NZ,66,-35.17,77.41,14.81
Jamestown,0,AU,44,-33.21,75.43,16.37
Busselton,0,AU,100,-33.64,68.99,8.43
Ushuaia,88,AR,100,-54.81,45.14,13.69
Kodiak,90,US,82,39.95,57.2,21.92
Kasane,92,BW,96,-17.8,67.96,10.67
Mar del Plata,12,AR,95,-46.43,55.13,2.39
Hermanus,56,ZA,100,-34.42,52.43,3.62
Berlevag,92,NO,100,70.86,35.06,25.77
Atuona,92,PF,100,-9.8,81.05,14.14
Khatanga,36,RU,80,71.98,-18.27,19.17
Tazovskiy,8,RU,0,67.47,-31.05,12.57
East London,24,ZA,100,-33.02,68.23,7.43
Westport,24,IE,100,53.8,29.44,12.01
Shahr-e Kord,48,IR,81,32.33,26.56,3.62
Araouane,0,ML,49,18.9,67.69,4.29
Meghri,24,AM,83,38.9,25.79,1.16
Barrow,56,AR,92,-38.31,65.3,3.62
Roebourne,0,AU,23,-20.77,98.92,4.18
Castro,0,CL,97,-42.48,49.69,2.17
Shubarkuduk,36,KZ,79,49.15,10.63,6.64
Severo-Kurilsk,64,RU,100,50.68,26.47,14.7
Kaitangata,0,NZ,76,-46.28,68.86,3.62
Trairi,8,BR,97,-3.28,82.94,15.93
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Tasiilaq,0,GL,91,65.61,17.33,4.18
Ilhabela,88,BR,100,-23.78,77.32,5.3
Mataura,0,NZ,67,-46.19,71.74,5.64
Dinguiraye,88,GN,99,11.29,67.28,3.62
Baker City,90,US,73,44.77,26.11,5.82
Meulaboh,12,ID,100,4.14,80.74,3.62
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Thompson,40,CA,78,55.74,17.6,3.36
Ponta do Sol,76,BR,98,-20.63,65.71,2.73
Vermillion,1,US,74,42.78,33.03,6.93
Rikitea,64,PF,100,-23.12,79.84,14.03
New Norfolk,68,AU,64,-42.78,69.26,8.21
Jamestown,0,AU,44,-33.21,75.43,16.37
Rikitea,64,PF,100,-23.12,79.84,14.03
Sept-Iles,0,CA,56,50.2,5.9,2.39
Hithadhoo,76,MV,100,-0.6,83.71,7.65
Lebu,64,ET,87,8.96,46.63,2.62
Rikitea,64,PF,100,-23.12,79.84,14.03
